PROPIEDAD,TIPO DE VEHICULO ,MARCA,NOMBRE,
Linea,MOTOCICLETA,APRILIA,TUONO V4 1100 RR E4,
Linea,MOTOCICLETA,APRILIA,TUONO V4-R,
Linea,CUATRIMOTO,ARCTIC CAT,550,
Linea,CUATRIMOTO,ARCTIC CAT,350 CR,
Linea,CUATRIMOTO,ARCTIC CAT,366 SE,
Linea,CUATRIMOTO,ARCTIC CAT,ATV 450,
Linea,CUATRIMOTO,ARCTIC CAT,PROWLER 500 HDX,
Linea,CUATRIMOTO,ARCTIC CAT,TRV 500,
Linea,CUATRIMOTO,ARCTIC CAT,TRV 700 XT,
Linea,CUATRIMOTO,ARCTIC CAT,WILDCAT 4,
Linea,MOTOCARRO,ARCTIC CAT,ATV 150 4X2 AT,
Linea,MOTOCARRO,ARCTIC CAT,PROWLER HDX 700i 4X4 AT,
Linea,MOTOCARRO,ARCTIC CAT,PROWLER XTZ 1000 4X4 AT,
Linea,MOTOCICLETA,ARIEL,"LINEAS Y CILINDRAJES NO INCLUIDOS
 ANTERIORES A 1997",
Linea,CAMIONETA,ARO,240,
Linea,CAMIONETA,ARO,240,
Linea,CAMIONETA,ARO,246,
Linea,CAMIONETA,ARO,240 (LINEA BASE ESTANDAR),
Linea,CAMIONETA,ARO,CARPATI 240,
Linea,CAMIONETA,ARO,D320,
Linea,CAMIONETA,ARO,"LINEAS Y CILINDRAJES NO INCLUIDOS
 ANTERIORES A 1997",
Linea,CAMIONETA,ARO,M-461,
Linea,CAMIONETA,ARO,M-461,
Linea,CAMIONETA,ARO,M-461,
Linea,CAMIONETA,ARO,M-461 (LINEA BASE ESTANDAR),
Linea,CAMIONETA,ARO,"LINEAS Y CILINDRAJES NO INCLUIDOS
 ANTERIORES A 1997",
Linea,CAMIONETA,ASIA,"LINEAS Y CILINDRAJES NO INCLUIDOS
 ANTERIORES A 1997",
Linea,CAMIONETA,ASIA,ROCSTA (LINEA BASE ESTANDAR),
Linea,CAMIONETA,ASIA,ROCSTA I,
Linea,CAMIONETA,ASIA,ROCSTA I 4X4 MT,
Linea,CAMIONETA,ASIA,ROCSTA II 4X4 MT,
Linea,CAMIONETA,ASIA,TOWNER DLX MINIVAN MT,
Linea,BUS,ASIA,CITY AM 973 4X2 MT,
Linea,BUS,ASIA,COSMOS 4X2 MT,
Linea,BUSETA,ASIA,COMBI,
Linea,BUSETA,ASIA,COMBI AM 825 4X2 MT,
Linea,MICROBUS,ASIA,HI TOPIC,
Linea,MICROBUS,ASIA,HI TOPIC,
Linea,MICROBUS,ASIA,HI TOPIC AM 715,
Linea,MICROBUS,ASIA,HI TOPIC AM 715 4X2 MT,
Linea,MICROBUS,ASIA,HI TOPIC AM 725,
Linea,MICROBUS,ASIA,HI TOPIC STD MT,
Linea,CAMIONETA,ASIA,"LINEAS Y CILINDRAJES NO INCLUIDOS
 ANTERIORES A 1997",
Linea,CAMIONETA,ASIA,TOWNER PANEL MT,
